Date,Time,Event,Value
2019/07/11,11:01:53,PUMP,RUNNING
2019/07/11,11:02:03,PUMP,STOPPED
2019/07/11,11:02:52,POWER,ON
2019/07/11,11:02:52,MODE,MANUAL
2019/07/11,11:02:52,ECO_MODE,ON
2019/07/11,11:02:52,WATER_LEVEL,HIGH
2019/07/11,11:02:52,MANUAL,PUMP_STOP
2019/07/11,11:03:41,PUMP,RUNNING
2019/07/11,11:03:58,PUMP,STOPPED
2019/07/11,11:04:31,PUMP,RUNNING
2019/07/11,11:04:58,PUMP,STOPPED
2019/07/11,11:06:01,POWER,ON
2019/07/11,11:06:01,MODE,MANUAL
2019/07/11,11:06:01,ECO_MODE,ON
2019/07/11,11:06:01,WATER_LEVEL,HIGH
2019/07/11,11:06:01,MANUAL,PUMP_STOP
2019/07/11,11:06:30,PUMP,RUNNING
2019/07/11,11:07:48,PUMP,STOPPED
2019/07/11,11:08:49,ECO_MODE,OFF
2019/07/11,11:08:51,ECO_MODE,ON
2019/07/11,11:09:59,MANUAL,PUMP_START
2019/07/11,11:09:59,CONTROL,PUMP_START
2019/07/11,11:10:00,MANUAL,PUMP_STOP
2019/07/11,11:10:00,CONTROL,PUMP_STOP
2019/07/11,11:10:02,MODE,AUTO
2019/07/11,11:10:03,MODE,MANUAL
2019/07/11,11:10:54,PUMP,STOPPED
2019/07/11,11:21:44,PUMP,RUNNING
2019/07/11,11:27:15,COMMS,ERROR
2019/07/11,11:28:40,COMMS,ERROR_RESOLVED
2019/07/11,11:28:40,PUMP,RUNNING
2019/07/11,11:28:50,PUMP,STOPPED
2019/07/11,11:29:00,PUMP,RUNNING
2019/07/11,14:49:35,CONTROL,PUMP_START
2019/07/11,16:46:25,MANUAL,PUMP_STOP
2019/07/11,16:46:25,CONTROL,PUMP_STOP
2019/07/11,16:57:59,POWER,ON
2019/07/11,16:57:59,MODE,MANUAL
2019/07/11,16:57:59,ECO_MODE,ON
2019/07/11,16:57:59,WATER_LEVEL,HIGH
2019/07/11,16:57:59,MANUAL,PUMP_STOP
2019/07/11,16:58:01,PUMP,RUNNING
2019/07/11,16:59:04,POWER,ON
